Договор,Дата_документа,Документ,Описание_работ,Тип_работ,Месторождение,Скважина,Сумма,НДС
Договор 111,2021-04-01,Акт об оказании производственных услуг ДРЛ00000197 от 01.04.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 6БИС скважина 211, руб",Демонтаж,Западно-Усть-Балыкское,211,2812412.63,468735.44
Договор 111,2021-04-01,Акт об оказании производственных услуг ДРЛ00000197 от 01.04.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 6БИС скважина 211, руб",Монтаж,Западно-Усть-Балыкское,211,4567218.89,761203.15
Договор 111,2021-04-01,Акт об оказании производственных услуг ДРЛ00000197 от 01.04.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 6БИС скважина 211, руб",Переезд,Западно-Усть-Балыкское,211,2623247.45,437207.91
Договор 111,2021-05-17,Акт об оказании производственных услуг ДРЛ00000261 от 17.05.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 11 скважина 1126, шт",Бурение,Западно-Усть-Балыкское,1126,39615987.28,6602664.54
Договор 111,2021-05-17,Акт об оказании производственных услуг ДРЛ00000261 от 17.05.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 11 скважина 1126, шт",Демонтаж,Западно-Усть-Балыкское,1126,2812412.63,468735.44
Договор 111,2021-05-17,Акт об оказании производственных услуг ДРЛ00000261 от 17.05.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 11 скважина 1126, шт",Монтаж,Западно-Усть-Балыкское,1126,4567218.89,761203.15
Договор 111,2021-05-17,Акт об оказании производственных услуг ДРЛ00000261 от 17.05.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 11 скважина 1126, шт",Переезд,Западно-Усть-Балыкское,1126,2623247.45,437207.91
Договор 111,2021-07-01,Акт об оказании производственных услуг ДРЛ00000409 от 01.07.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 1 скважина 123, шт",Бурение,Западно-Усть-Балыкское,123,45253028.75,7542171.45
Договор 111,2021-07-01,Акт об оказании производственных услуг ДРЛ00000409 от 01.07.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 1 скважина 123, шт",Демонтаж,Западно-Усть-Балыкское,123,2812412.63,468735.44
Договор 111,2021-07-01,Акт об оказании производственных услуг ДРЛ00000409 от 01.07.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 1 скважина 123, шт",Монтаж,Западно-Усть-Балыкское,123,4567218.89,761203.15
Договор 111,2021-07-01,Акт об оказании производственных услуг ДРЛ00000409 от 01.07.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 1 скважина 123, шт",Переезд,Западно-Усть-Балыкское,123,2623247.45,437207.91
Договор 111,2021-08-02,Акт об оказании производственных услуг ДРЛ00000423 от 02.08.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 7 скважина 207, шт",Бурение,Западно-Усть-Балыкское,207,32976877.0,5496146.16
Договор 111,2021-08-02,Акт об оказании производственных услуг ДРЛ00000423 от 02.08.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 7 скважина 207, шт",Демонтаж,Западно-Усть-Балыкское,207,2812412.63,468735.44
Договор 111,2021-08-02,Акт об оказании производственных услуг ДРЛ00000423 от 02.08.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 7 скважина 207, шт",Монтаж,Западно-Усть-Балыкское,207,4567218.89,761203.15
Договор 111,2021-08-02,Акт об оказании производственных услуг ДРЛ00000423 от 02.08.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 7 скважина 207, шт",Переезд,Западно-Усть-Балыкское,207,2623247.45,437207.91
Договор 111,2021-08-20,Акт об оказании производственных услуг ДРЛ00000489 от 20.08.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 6Б скважина 40, руб",Бурение,Западно-Усть-Балыкское,40,35988107.24,5998017.87
Договор 111,2021-08-20,Акт об оказании производственных услуг ДРЛ00000489 от 20.08.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 6Б скважина 40, руб",Демонтаж,Западно-Усть-Балыкское,40,2812412.63,468735.44
Договор 111,2021-08-20,Акт об оказании производственных услуг ДРЛ00000489 от 20.08.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 6Б скважина 40, руб",Монтаж,Западно-Усть-Балыкское,40,4567218.89,761203.15
Договор 111,2021-08-20,Акт об оказании производственных услуг ДРЛ00000489 от 20.08.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 6Б скважина 40, руб",Переезд,Западно-Усть-Балыкское,40,2623247.45,437207.91
Договор 111,2021-09-18,Акт об оказании производственных услуг ДРЛ00000579 от 18.09.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 2Б скважина 161, руб",Бурение,Западно-Усть-Балыкское,161,45948676.56,7658112.76
Договор 111,2021-09-18,Акт об оказании производственных услуг ДРЛ00000579 от 18.09.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 2Б скважина 161, руб",Демонтаж,Западно-Усть-Балыкское,161,3242721.82,540453.64
Договор 111,2021-09-18,Акт об оказании производственных услуг ДРЛ00000579 от 18.09.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 2Б скважина 161, руб",Монтаж,Западно-Усть-Балыкское,161,5266019.7,877669.95
Договор 111,2021-09-18,Акт об оказании производственных услуг ДРЛ00000579 от 18.09.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 2Б скважина 161, руб",Переезд,Западно-Усть-Балыкское,161,4032818.24,672136.37
Договор 111,2021-10-12,Акт об оказании производственных услуг ДРЛ00000595 от 12.10.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 3 скважина 83, руб",Бурение,Западно-Усть-Балыкское,83,39326982.02,6554497.0
Договор 111,2021-10-12,Акт об оказании производственных услуг ДРЛ00000595 от 12.10.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 3 скважина 83, руб",Демонтаж,Западно-Усть-Балыкское,83,3242721.82,540453.64
Договор 111,2021-10-12,Акт об оказании производственных услуг ДРЛ00000595 от 12.10.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 3 скважина 83, руб",Монтаж,Западно-Усть-Балыкское,83,5266019.7,877669.95
Договор 111,2021-10-12,Акт об оказании производственных услуг ДРЛ00000595 от 12.10.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 3 скважина 83, руб",Переезд,Западно-Усть-Балыкское,83,4032818.24,672136.37
Договор 111,2021-11-11,Акт об оказании производственных услуг ДРЛ00000668 от 11.11.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 14 скважина 1042, руб",Бурение,Западно-Усть-Балыкское,1042,32206773.71,5367795.61
Договор 111,2021-11-11,Акт об оказании производственных услуг ДРЛ00000668 от 11.11.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 14 скважина 1042, руб",Демонтаж,Западно-Усть-Балыкское,1042,3242721.82,540453.64
